# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9,2.5,-0.007969794625134525,0,3.0,-0.022421569838470087,0.0,0.0,0.0
 0.08967116691443351,1.912061377147009,2.4999983222725968,-0.007969794625134525,0.2690135007433005,2.9999999999999996,-0.022421569838470087,0.0,-0.41568966375128563,0.0
 0.12713473388112834,1.9242448596933148,2.4999933160418313,-0.02354301218044367,0.38140420164338495,2.9999999999999996,-0.021494343196576716,0.0,-0.5206396048784113,0.0
 0.15609714547374015,1.9365494742968348,2.49998502173487,-0.038621990708347,0.4682914364212204,3.0,-0.020612378832324155,0.0,-0.5937376749867445,0.0
 0.1806917391898116,1.9489742476154865,2.4999734797788795,-0.05322472759857086,0.5420752175694348,3.0000000000000013,-0.019772880867858673,0.0,-0.6481093775186457,0.0
 0.202514566191988,1.9615182063071883,2.4999587306010254,-0.06736830642264849,0.6075436985759639,2.9999999999999987,-0.01897325797991632,0.0,-0.6896148649327235,0.0
 0.22238166542740573,1.9741803770298572,2.499940814628475,-0.08106895337848612,0.6671449962822171,3.0,-0.018211106063305088,0.0,-0.7215768132892392,0.0
 0.2407762923170335,1.9869597864414106,2.499919772288394,-0.09434208963114828,0.7223288769511005,3.0,-0.01748419259219492,0.0,-0.7461286566635021,0.0
 0.2580123146204351,1.9998554611997668,2.4998956440079487,-0.10720237979860747,0.7740369438613054,3.0000000000000067,-0.01679044228577781,0.0,-0.7647504467340944,0.0
 0.27430703829028025,2.012866427962843,2.4998684702143055,-0.11966377700453017,0.8229211148708409,3.0000000000000036,-0.016127924047916853,0.0,-0.7785245669104979,0.0
 0.28981815793596377,2.0259917133885574,2.4998382913346306,-0.13173956470898285,0.8694544738078914,3.0,-0.015494840729553044,0.0,-0.788273298537265,0.0
 0.3046643171738427,2.0392303441348267,2.499805147796091,-0.14344239562203515,0.9139929515215282,3.0,-0.014889516317794452,0.0,-0.7946394525686844,0.0
 0.3189373717850673,2.0525813468595695,2.4997690800258527,-0.1547843279247816,0.956812115355202,3.0,-0.014310387821589271,0.0,-0.7981367922966511,0.0
 0.3327101124534997,2.066043748220703,2.4997301284510822,-0.16577685898301786,0.9981303373604992,3.0,-0.013755996520122691,0.0,-0.7991832143637627,0.0
 0.3460413456976341,2.0796165748761446,2.4996883334989453,-0.17643095681849827,1.0381240370929024,2.9999999999999916,-0.013224979658381214,0.0,-0.7981234883032416,0.0
 0.358979359378865,2.093298853483813,2.4996437355966084,-0.18675708942947733,1.076938078136595,2.9999999999999956,-0.012716061711622685,0.0,-0.7952453821428728,0.0
 0.37156435892103873,2.107089610701624,2.4995963751712384,-0.19676525219966115,1.114693076763116,2.999999999999991,-0.012228051081749425,0.0,-0.7907914184168354,0.0
 0.3838302245807862,2.1209878731874974,2.4995462926500016,-0.2064649935028432,1.1514906737423585,3.0000000000000044,-0.011759829728341244,0.0,-0.7849676522540179,0.0
 0.39580580740288157,2.1349926675993496,2.499493528460064,-0.21586543863507696,1.1874174222086447,3.0000000000000044,-0.011310352531590613,0.0,-0.7779503629023614,0.0
 0.4075159036021642,2.1491030205950983,2.4994381230285914,-0.22497531222293046,1.2225477108064926,3.0,-0.010878636356916615,0.0,-0.769891242318297,0.0
 0.4189819997102622,2.1633179588326614,2.4993801167827514,-0.233802959200135,1.2569459991307865,3.000000000000005,-0.010463760380907702,0.0,-0.7609214840919044,0.0
 0.430222851055281,2.177636508969956,2.4993195501497096,-0.2423563644880432,1.290668553165843,3.0,-0.010064859943980776,0.0,-0.7511550420806067,0.0
 0.44125493692274975,2.1920576976649007,2.4992564635566326,-0.25064317141205855,1.3237648107682491,2.99999999999999,-0.009681122071848321,0.0,-0.7406912686547081,0.0
 0.4520928230301418,2.2065805515754127,2.499190897430686,-0.258670699022478,1.3562784690904253,2.9999999999999947,-0.009311781390445362,0.0,-0.7296170615490017,0.0
 0.46274945334864537,2.221204097359409,2.4991228921990376,-0.26644595832147855,1.388248360045936,3.0000000000000155,-0.00895611889971124,0.0,-0.7180086410800357,0.0
 0.4732363873762182,2.2359273616748085,2.499052488288852,-0.27397566757171216,1.4197091621286544,2.9999999999999787,-0.008613456454543672,0.0,-0.7059330116579667,0.0
 0.4835639948038319,2.250749371179528,2.498979726127297,-0.28126626658630866,1.4506919844114954,2.9999999999999947,-0.0082831560207267,0.0,-0.6934492048921976,0.0
 0.4937416165479942,2.265669152531485,2.4989046461415385,-0.28832393029249154,1.4812248496439822,2.9999999999999836,-0.007964616023749071,0.0,-0.68060930830973,0.0
 0.5037776989736965,2.280685732388598,2.498827288758742,-0.29515458141038825,1.511333096921089,2.999999999999989,-0.0076572675336901265,0.0,-0.6674593468334848,0.0
 0.51367990655546,2.295798137408784,2.4987476944060756,-0.3017639024151217,1.5410397196663796,3.000000000000011,-0.0073605751061606075,0.0,-0.6540400366999367,0.0
 0.5234552170532508,2.3110053942499604,2.498665903510704,-0.30815734685185003,1.5703656511597521,3.0000000000000115,-0.007074032447967269,0.0,-0.6403874203956116,0.0
 0.533110002400424,2.326306529570046,2.498581956499794,-0.3143401499347997,1.5993300072012722,3.0000000000000346,-0.006797161134979238,0.0,-0.6265334258098711,0.0
 0.542650097833055,2.341700570026957,2.4984958938005124,-0.320317338608759,1.627950293499165,3.0000000000000115,-0.006529507640943917,0.0,-0.6125063395271121,0.0
